계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-a30adad508bb,물품,행정실 복사기 토너 구입 및 노트북 수리,2024-02-28,1725000,제주특별자치도교육청 함덕고등학교,함덕고등학교,주식회사 해피넷,9290103,고등학교,제주특별자치도,
-0b7de5e670af,물품,G2B)정보화기기 구입(태블릿충전보관함),2024-02-26,1942500,제주특별자치도교육청 노형초등학교,노형초등학교,제주지방조달청,9296056,초등학교,제주특별자치도,
-06ba582357cc,물품,노트북 초기화 및 프로그램 설치,2024-02-23,4370000,제주특별자치도교육청 제주여자상업고등학교,제주여자상업고등학교,밝은미래Net,9290051,고등학교,제주특별자치도,
-fd3e8735dc49,물품,학교도서관 환경개선 및 현대화 사업 추진에 따른 비품 구입(태블릿),2024-02-23,1118000,제주특별자치도교육청 함덕고등학교,함덕고등학교,삼성스토어 제주인화점,9290103,고등학교,제주특별자치도,
-c7f1315a3e61,물품,교직원용 태블릿pc 구입,2024-02-21,11142000,제주특별자치도교육청 오라초등학교,오라초등학교,(주)대성정보기술,9296055,초등학교,제주특별자치도,
-65f1f45f16fa,물품,메타버스 활용 학교 운영을 위한 소프트웨어 프로그램 구입( Rocket Candy 외...,2024-02-20,1815000,제주특별자치도교육청 안덕초등학교,안덕초등학교,올아이피정보통신 주식회사,9299065,초등학교,제주특별자치도,
-7b077a8a8537,물품,원격 수업 지원 물품(모니터필름) 구입,2024-02-20,1587800,제주특별자치도교육청 오현고등학교,오현고등학교,지오(GIO),9290069,고등학교,제주특별자치도,
-505274f301dc,물품,디지털 교육을 위한 교구 구입,2024-02-20,5000000,제주특별자치도교육청 서호초등학교,서호초등학교,(주)디플,9299029,초등학교,제주특별자치도,
-7da9547ddc14,물품,미래형정보화교실 물품(정보통신기자재) 구입,2024-02-19,1159000,제주특별자치도교육청 대정초등학교,대정초등학교,주식회사 해피넷,9299059,초등학교,제주특별자치도,
-59f4cdcb7f8e,물품,(G2B) 2024학년도 특수학급 증설을 위한 비품(전자칠판) 구입,2024-02-16,4730000,제주특별자치도교육청 서귀포중학교,서귀포중학교,제주지방조달청,9299009,중학교,제주특별자치도,
-3327fa86965e,물품,[S2B] 학교운영위원회 회의용 태블릿 PC 알쉐어 구입,2024-02-16,2500000,제주특별자치도교육청 한라중학교,한라중학교,주식회사 이베스트,9296018,중학교,제주특별자치도,
-4994ba5dc202,물품,[G2B] 학교운영위원회 회의용 태블릿 PC 충전기 구입,2024-02-16,1790000,제주특별자치도교육청 한라중학교,한라중학교,제주지방조달청,9296018,중학교,제주특별자치도,
-735e879a3ef8,물품,[S2B] 학교운영위원회 회의용 태블릿 PC 구입,2024-02-16,6460000,제주특별자치도교육청 한라중학교,한라중학교,(주)엠피지오,9296018,중학교,제주특별자치도,
-f651c7210c8b,물품,조달) 증설특수학급 태블릿컴퓨터 구입,2024-02-16,2048000,제주특별자치도교육청 영평초등학교,영평초등학교,삼성전자 주식회사,9296054,초등학교,제주특별자치도,
-b28d4bd84f9d,물품,(조달) 교육복지실 운영 노트북컴퓨터 구입,2024-02-16,1610000,제주특별자치도교육청 김녕초등학교,김녕초등학교,제주지방조달청,9296087,초등학교,제주특별자치도,
-074f8694f253,물품,교원용 노트북 컴퓨터 조달 구입,2024-02-16,3570000,제주특별자치도교육청 금악초등학교,금악초등학교,제주지방조달청,9296078,초등학교,제주특별자치도,
-9470cb53fc26,물품,(조달) 개념기반 탐구수업 지원 및 교육환경 개선을 위한 노트북 컴퓨터 ...,2024-02-15,3000000,제주특별자치도교육청 성산초등학교,성산초등학교,엘지전자 주식회사,9299043,초등학교,제주특별자치도,
-dae4247bd2f2,물품,스마트스탠드(스탠딩전동책상) 및 빔 거치대 구입,2024-02-15,1034820,제주특별자치도교육청 제주중앙중학교,제주중앙중학교,네이버파이낸셜,9296012,중학교,제주특별자치도,
-ffa898e5e54a,물품,소형기기용 충전기(태블릿PC 충전함)구입,2024-02-15,2842500,제주특별자치도교육청 덕수초등학교,덕수초등학교,제주지방조달청,9299063,초등학교,제주특별자치도,
-149cdf9874a8,물품,[조달] 맞춤형 학업성취도 평가물품 구입(노트북컴퓨터),2024-02-15,2310000,제주특별자치도교육청 광양초등학교,광양초등학교,제주지방조달청,9296042,초등학교,제주특별자치도,
-7c835ac24ef9,물품,(G2B) 교원 수 증원에 따른 교과교사 수업용 노트북 구입,2024-02-15,1610000,제주특별자치도교육청 서귀포중학교,서귀포중학교,제주지방조달청,9299009,중학교,제주특별자치도,
-69e4463fcd00,물품,수업환경개선 미술교과교실 이동식 전자칠판 구입,2024-02-14,6941000,제주특별자치도교육청 남주중학교,남주중학교,제주지방조달청,9299023,중학교,제주특별자치도,
-c2a397d6264f,물품,고교학점제 수업 활동 지원을 위한 전자칠판 구입,2024-02-14,4900000,제주특별자치도교육청 애월고등학교,애월고등학교,주식회사 해피넷,9290086,고등학교,제주특별자치도,
-56b2759bce46,물품,(G2B)영어교과실 태블릿 구입,2024-02-14,8303000,제주특별자치도교육청 함덕중학교,함덕중학교,제주지방조달청,9296027,중학교,제주특별자치도,
-9b9d123a04bd,물품,(G2B)영어교과실 태블릿 충전함 구입,2024-02-14,3009600,제주특별자치도교육청 함덕중학교,함덕중학교,제주지방조달청,9296027,중학교,제주특별자치도,
-7cba0b458aa4,물품,디지털 선도학교 운영에 따른 교육 기자재 구입 (맥북에어),2024-02-14,1477000,제주특별자치도교육청 귀일중학교,귀일중학교,애플코리아 유한회사,9296036,중학교,제주특별자치도,
-2a9643907940,물품,2024 정원변동에 따른 업무용 정보화 비품 조달 구입(컴퓨터 액정모니터),2024-02-13,1020000,제주특별자치도교육청 외도초등학교,외도초등학교,제주지방조달청,9296058,초등학교,제주특별자치도,
-bdbfd32dcd92,물품,2024 정원변동에 따른 업무용 정보화 비품 조달 구입(데스크톱 컴퓨터),2024-02-13,2778000,제주특별자치도교육청 외도초등학교,외도초등학교,제주지방조달청,9296058,초등학교,제주특별자치도,
-62eaf7fae485,물품,미래형 정보교실 운영 파일시스템 소프트웨어 조달 구입,2024-02-13,1595000,제주특별자치도교육청 장전초등학교,장전초등학교,제주지방조달청,9296068,초등학교,제주특별자치도,
-84a24f80a651,물품,[G2B]영어GATE구축사업 영어북카페용 노트북 구입,2024-02-08,13361040,제주특별자치도교육청 서귀포고등학교,서귀포고등학교,제주지방조달청,9290059,고등학교,제주특별자치도,
-cb27b96a83d1,물품,(조달)태블릿컴퓨터 구입,2024-02-08,2995000,제주특별자치도교육청 일도초등학교,일도초등학교,제주지방조달청,9296041,초등학교,제주특별자치도,
-7f2a4f134b1c,물품,[조달]2024학년도 특수학급 신설을 위한 물품 구입-전자칠판,2024-02-07,4950000,제주특별자치도교육청 서귀포대신중학교,서귀포대신중학교,탐투스 주식회사,9299014,중학교,제주특별자치도,
-9d87bc40d1c7,물품,(조달) AI디지털 교육 지원 스마트기기(태블릿PC) 구입,2024-02-07,25875220,제주특별자치도교육청 김녕중학교,김녕중학교,제주지방조달청,9296028,중학교,제주특별자치도,
-a9768390dd7d,물품,2023 고교학점제 대비 공간 재구성 사업 비품(노트북)구입비 지급,2024-02-07,10320000,제주특별자치도교육청 대정여자고등학교,대정여자고등학교,제주지방조달청,9290057,고등학교,제주특별자치도,
-d7b85a6745d9,물품,학생용 노트북 수리,2024-02-07,1496000,제주특별자치도교육청 제주중앙여자고등학교,제주중앙여자고등학교,주식회사 해피넷,9290050,고등학교,제주특별자치도,
-680b4461d71f,물품,(조달)2024학년도 학교 자연증가학급 정보화기기(데스크톱컴퓨터외) 구입,2024-02-06,6379800,제주특별자치도교육청 아라초등학교,아라초등학교,제주지방조달청,9296053,초등학교,제주특별자치도,
-d5b146a681f4,물품,정보화기기(데스크톱컴퓨터) 구입,2024-02-05,1100000,제주특별자치도교육청 제주서초등학교,제주서초등학교,제주지방조달청,9296038,초등학교,제주특별자치도,
-217e775d662c,물품,자연증가학급 정보화 기기 구입 및 설치(컴퓨터),2024-02-05,1920000,제주특별자치도교육청 제주동중학교,제주동중학교,제주지방조달청,9296015,중학교,제주특별자치도,
-d3baa8f8d0a6,물품,"특별교실(컴퓨터실, 시청각실) 커튼 및 블라인드 설치",2024-02-05,1525000,제주특별자치도교육청 제주중앙중학교,제주중앙중학교,제주섬유,9296012,중학교,제주특별자치도,
-182833d54c2a,물품,미래형정보화교실 물품(정보통신기자재) 조달 구입G2B),2024-02-05,1108800,제주특별자치도교육청 대정초등학교,대정초등학교,제주지방조달청,9299059,초등학교,제주특별자치도,
-f51aca9cb365,물품,[조달] 맞춤형 학업성취도 평가물품 구입(노트북컴퓨터),2024-02-05,2010000,제주특별자치도교육청 광양초등학교,광양초등학교,제주지방조달청,9296042,초등학교,제주특별자치도,
-a16732e15ec4,물품,미래형정보화교실 방송 기자재 조달구입(G2B),2024-02-02,2058000,제주특별자치도교육청 대정초등학교,대정초등학교,제주지방조달청,9299059,초등학교,제주특별자치도,
-62f3b5e33be1,물품,[직업계고 학점제] 고교학점제 운영을 위한 학사관리 소프트웨어 사용료 ...,2024-02-01,3300000,제주특별자치도교육청 제주여자상업고등학교,제주여자상업고등학교,주식회사 슈퍼스클이노베이션,9290051,고등학교,제주특별자치도,
-6e9c8b849e45,물품,2024년 산업용드론제어 전공심화동아리 교육을 위한 재료 구입,2024-02-01,5400000,제주특별자치도교육청 서귀포산업과학고등학교,서귀포산업과학고등학교,와이엠테크,9290060,고등학교,제주특별자치도,
-b512e931b383,물품,석면 및 바닥마감재 교체 등 내외부 환경개선 건축공사 정보화실 제작가 ...,2024-01-31,5076000,제주특별자치도교육청 제주여자고등학교,제주여자고등학교,한국OA사무가구,9290071,고등학교,제주특별자치도,
-4e5911b5886c,물품,"(G2B)2024학년도 자연증가학급 정보화기기(컴퓨터, 모니터) 구입비 지출",2024-01-31,2373800,제주특별자치도교육청 노형중학교,노형중학교,주식회사 엠컴,9296185,중학교,제주특별자치도,
-90ae341c2d5d,물품,미래형정보교실 기자재(노트북) 추가 구입,2024-01-31,1980000,제주특별자치도교육청 효돈중학교,효돈중학교,주식회사 해피넷,9299012,중학교,제주특별자치도,
-3708fd4340d3,물품,(조달) 대정서초 미래형 정보교실 구축용 소프트웨어 구입(수업보조용),2024-01-30,3010000,제주특별자치도교육청 대정서초등학교,대정서초등학교,제주지방조달청,9299058,초등학교,제주특별자치도,
-7003e78503af,물품,(조달) 대정서초 미래형 정보교실 구축용 노트북 구입(추가분),2024-01-30,1330000,제주특별자치도교육청 대정서초등학교,대정서초등학교,제주지방조달청,9299058,초등학교,제주특별자치도,
-4c59105f6d58,물품,(G2B) 2023 고교학점제 대비 공간재구성 사업 계획에 따른 전자칠판 구입,2024-01-29,52800000,제주특별자치도교육청 함덕고등학교,함덕고등학교,제주지방조달청,9290103,고등학교,제주특별자치도,
-0a63eeef8eee,물품,2023 고교학점제 대비 공간 재구성 사업 비품(전자칠판외 2종)구입비 지급,2024-01-29,6530000,제주특별자치도교육청 대정여자고등학교,대정여자고등학교,(주)코리아정보,9290057,고등학교,제주특별자치도,
-7c76a6e194c6,물품,[조달]2024학년도 증설 특수학급 정보화 기자재 구입,2024-01-29,4088000,제주특별자치도교육청 제주북초등학교,제주북초등학교,제주지방조달청,9296040,초등학교,제주특별자치도,
-691037b42401,물품,"(원인)방과후학교(로봇과학,음악줄넘기) 수업용교구 구입(프로보 테크닉)",2024-01-29,2068000,제주특별자치도교육청 풍천초등학교,풍천초등학교,로봇프라임,9299045,초등학교,제주특별자치도,
-2e0e95b22777,물품,미래형정보화교실 물품(노트북) 조달 구입(G2B),2024-01-29,42900000,제주특별자치도교육청 대정초등학교,대정초등학교,제주지방조달청,9299059,초등학교,제주특별자치도,
-fd2a5d6f42f7,물품,미래형정보화교실 물품(노트북충전함) 조달 구입(G2B),2024-01-29,2090000,제주특별자치도교육청 대정초등학교,대정초등학교,제주지방조달청,9299059,초등학교,제주특별자치도,
-a7a8daff3698,물품,(G2B)과학 및 외국어 학습용 태블릿PC 구입,2024-01-26,3534000,제주특별자치도교육청 종달초등학교,종달초등학교,삼성전자 주식회사,9296094,초등학교,제주특별자치도,
-d23097b14d26,물품,(원인)교실 수업 개선을 위한 태블릿PC 구입,2024-01-26,6830620,제주특별자치도교육청 풍천초등학교,풍천초등학교,주식회사설빈,9299045,초등학교,제주특별자치도,
-ffdbd69a76ea,물품,드론축구 연습용경기장 구입,2024-01-26,2000000,제주특별자치도교육청 성읍초등학교,성읍초등학교,상상표현,9299047,초등학교,제주특별자치도,
-656583b08f70,물품,(G2B)수업 교육용 노트북 구입,2024-01-25,6640000,제주특별자치도교육청 조천중학교,조천중학교,제주지방조달청,9296026,중학교,제주특별자치도,
-43953ef37124,물품,우도초.중학교 미래형정보화교실 천정형 냉난방기 배관 정비,2024-01-25,2420000,제주특별자치도교육청 우도중학교,우도중학교,해밀시스템,9296030,중학교,제주특별자치도,
-00cb4215e480,물품,교육환경개선 전자칠판 이동식 스탠드 구입,2024-01-25,1100000,제주특별자치도교육청 애월초등학교,애월초등학교,(주)아하,9296071,초등학교,제주특별자치도,
-a2b92880466d,물품,미래형정보화교실 물품(정보통신기자재) AP 구입,2024-01-25,2764300,제주특별자치도교육청 대정초등학교,대정초등학교,(주)케이티,9299059,초등학교,제주특별자치도,
-35f89fe57372,물품,특수학급 증설에 따른 비품 구입(이동식 전자칠판),2024-01-24,2820000,제주특별자치도교육청 안덕중학교,안덕중학교,주식회사 해피넷,9299019,중학교,제주특별자치도,
-be63c1c25b82,물품,(G2B)특수학급 증설에 따른 비품 구입(전자칠판),2024-01-24,6941000,제주특별자치도교육청 안덕중학교,안덕중학교,제주지방조달청,9299019,중학교,제주특별자치도,
-d3e330d0bc42,물품,(G2B) 정보교과실 수업용 노트북컴퓨터 구입,2024-01-24,2300000,제주특별자치도교육청 제주제일고등학교,제주제일고등학교,제주지방조달청,9290049,고등학교,제주특별자치도,
-73d4d42b518f,물품,컴퓨터실 컴퓨터책상 교체에 따른 컴퓨터 이전 설치,2024-01-22,2574000,제주특별자치도교육청 외도초등학교,외도초등학교,주식회사 해피넷,9296058,초등학교,제주특별자치도,
-b84a8b25f27e,물품,디지털선도학교 운영 교수학습 지원 자료-거북이코딩로봇세트,2024-01-22,2700000,제주특별자치도교육청 대흘초등학교,대흘초등학교,도담,9296084,초등학교,제주특별자치도,
-4519860b3bdf,물품,디지털선도학교 운영 교수학습 지원 자료-이지메이커,2024-01-22,1782000,제주특별자치도교육청 대흘초등학교,대흘초등학교,주식회사 하이씨티,9296084,초등학교,제주특별자치도,
-e60061679dd4,물품,2024 맞춤형 학업성취도 평가 지원용 태블릿 PC 구입,2024-01-19,19320000,제주특별자치도교육청 백록초등학교,백록초등학교,(주)에듀에이드,9296063,초등학교,제주특별자치도,
-01c3a9940618,물품,프린터 수리 및 정보화기기 소모품 구입,2024-01-19,1146000,제주특별자치도교육청 서호초등학교,서호초등학교,주식회사 해피넷,9299029,초등학교,제주특별자치도,
-4deb854961ed,물품,(조달) 학교 태블릿PC 구입,2024-01-18,2396000,제주특별자치도교육청 일도초등학교,일도초등학교,제주지방조달청,9296041,초등학교,제주특별자치도,
-13e6e1fb080e,물품,[카드]전산 소모품(태블릿용 이어폰 외 5종) 구입,2024-01-17,1924750,제주특별자치도교육청 하귀일초등학교,하귀일초등학교,(주)컴퓨존,9296181,초등학교,제주특별자치도,
-b8a9e4f749ee,물품,2023 미래역량강화사업 운영에 따른 노트북컴퓨터 및 태블릿컴퓨터 구입,2024-01-17,8800000,제주특별자치도교육청 한림공업고등학교,한림항공우주고등학교,제주지방조달청,9290226,고등학교,제주특별자치도,
-143ae1b87fd2,물품,(S2B)도서관 현대화 사업에 따른 물품(태블릿) 구입,2024-01-16,13503500,제주특별자치도교육청 이도초등학교,이도초등학교,경남으뜸장터,9296179,초등학교,제주특별자치도,
-6f7f6cef8622,물품,[조달] 서귀중앙여자중학교 녹취서버(통신소프트웨어) 구입,2024-01-16,12100000,제주특별자치도교육청 서귀중앙여자중학교,서귀중앙여자중학교,솔루텍(주),9299011,중학교,제주특별자치도,
-06d76446370c,물품,그린스마트스쿨 조성사업에 따른 전화 및 카메라 이전 설치,2024-01-16,1365000,제주특별자치도교육청 제주여자상업고등학교,제주여자상업고등학교,한솔정보통신 주식회사,9290051,고등학교,제주특별자치도,
-beebfd6e21cf,물품,(G2B)업무용 정보화기기(액정모니터) 구입,2024-01-15,2232000,제주특별자치도교육청 제주중앙여자중학교,제주중앙여자중학교,제주지방조달청,9296013,중학교,제주특별자치도,
-4bbcabe8701c,물품,"미래형 정보교실 사업에 따른 물품 (노트북컴퓨터, 텔레비전) 다수공급자...",2024-01-15,33485000,제주특별자치도교육청 장전초등학교,장전초등학교,삼성전자 주식회사,9296068,초등학교,제주특별자치도,
-f1bfc235ce3e,물품,[조달] 코딩 교육 및 음악교육용 태블릿 컴퓨터 구입,2024-01-15,2622000,제주특별자치도교육청 토평초등학교,토평초등학교,제주지방조달청,9299030,초등학교,제주특별자치도,
-77a4af876aad,물품,SW·AI 심화기자재 가상현실장치(VR기기) 구매,2024-01-15,19980000,제주특별자치도교육청 제주제일고등학교,제주제일고등학교,삼성토탈서비스,9290049,고등학교,제주특별자치도,
-7894131560c2,물품,본관 3층 컴퓨터실 내부 벽체 도색 공사,2024-01-15,2160400,제주특별자치도교육청 외도초등학교,외도초등학교,주식회사 내쇼날건업,9296058,초등학교,제주특별자치도,
-21c0fc714c7f,물품,디지털기기 활용 수업을 위한 블루투스 스피커 구입,2024-01-15,1176000,제주특별자치도교육청 대흘초등학교,대흘초등학교,주식회사 다온씨에스,9296084,초등학교,제주특별자치도,
-6aadb6cdbff2,물품,도서관 현대화 사업에 따른 물품(노트북) 조달 구입,2024-01-12,1310000,제주특별자치도교육청 이도초등학교,이도초등학교,삼성전자 주식회사,9296179,초등학교,제주특별자치도,
-84420c332e11,물품,(조달)교육활동보호 강화를 위한 민원상담실 운영 물품 구입(노트북),2024-01-12,1330000,제주특별자치도교육청 안덕중학교,안덕중학교,제주지방조달청,9299019,중학교,제주특별자치도,
-c6bdafd5169e,물품,(조달)미래형정보교실 구축용 기자재(노트북) 구입,2024-01-12,10750000,제주특별자치도교육청 효돈중학교,효돈중학교,제주지방조달청,9299012,중학교,제주특별자치도,
-5748c008038c,물품,[직업계고 학점제] 고교학점제 운영을 위한 학사관리 소프트웨어 사용료 ...,2024-01-12,3300000,제주특별자치도교육청 제주여자상업고등학교,제주여자상업고등학교,슈퍼스쿨,9290051,고등학교,제주특별자치도,
-13761f439b62,물품,교육환경개선 교수학습기자재(전자칠판) 조달 구입,2024-01-11,13200000,제주특별자치도교육청 애월초등학교,애월초등학교,제주지방조달청,9296071,초등학교,제주특별자치도,
-1540def7c2d5,물품,(G2b) 2023 학교도서관 현대화사업 정보화기기(컴퓨터 및 모니터) 조달 구입,2024-01-11,1349100,제주특별자치도교육청 제주제일중학교,제주제일중학교,주식회사 엠컴,9296011,중학교,제주특별자치도,
-1979578c787c,물품,(G2b) 2023 학교도서관 현대화사업 정보화기기(수업용 노트북) 조달 구입,2024-01-11,1500000,제주특별자치도교육청 제주제일중학교,제주제일중학교,삼성전자 주식회사,9296011,중학교,제주특별자치도,
-d5aad0086b6e,물품,미래형 정보교실 노트북 충전함 구입,2024-01-10,2090000,제주특별자치도교육청 세화고등학교,세화고등학교,(주)스마트엑세스,9290064,고등학교,제주특별자치도,
-2f7839c0cf7a,물품,정보화 비품 구입(노트북충전함),2024-01-10,1590000,제주특별자치도교육청 신례초등학교,신례초등학교,스마트엑세스,9299056,초등학교,제주특별자치도,
-d3c85149830a,물품,미래형정보화교실 수업보조용 소프트웨어 조달 구입(S2b),2024-01-09,3000000,제주특별자치도교육청 대정초등학교,대정초등학교,한국교직원공제회 S2B,9299059,초등학교,제주특별자치도,
-ce41be922f1b,물품,(조달) 대정서초 미래형 정보교실 구축을 위한 비품 구입(노트북),2024-01-09,17850000,제주특별자치도교육청 대정서초등학교,대정서초등학교,제주지방조달청,9299058,초등학교,제주특별자치도,
-9500f52a0659,물품,"미래형정보화교실 컴퓨터, 모니터 조달 구입(g2b)",2024-01-09,2776000,제주특별자치도교육청 대정초등학교,대정초등학교,제주지방조달청,9299059,초등학교,제주특별자치도,
-62692c4e37c6,물품,학교 민원상담실 녹음기 및 디지털카메라 구입,2024-01-09,2000000,제주특별자치도교육청 표선중학교,표선중학교,주식회사 해피넷,9299016,중학교,제주특별자치도,
-e146b9faf35a,물품,컴퓨터실 교육용 액정모니터 조달 구입,2024-01-09,12410000,제주특별자치도교육청 한라초등학교,한라초등학교,제주지방조달청,9296062,초등학교,제주특별자치도,
-46013be1843f,물품,(S2B)교무업무용 태블릿 PC 구입,2024-01-09,1169190,제주특별자치도교육청 재릉초등학교,재릉초등학교,(주)에듀에이드,9296077,초등학교,제주특별자치도,
-aa662a6e4a95,물품,납읍초등학교 증·개축공사에 따른 정보화기기 및 텔레비전 이전 설치,2024-01-09,3950000,제주특별자치도교육청 납읍초등학교,납읍초등학교,(주)대성정보기술,9296070,초등학교,제주특별자치도,
-549ccdd07057,물품,SW·AI교육 활성화 동아리 컨퍼런스 운영 물품(라즈베리파이 키트 외 5종) ...,2024-01-08,1549600,제주특별자치도교육청 서귀포고등학교,서귀포고등학교,준컴퍼니,9290059,고등학교,제주특별자치도,
-1ba8290e3ece,물품,미래형 정보교실 정보화기기 구입(파일시스템소프트웨어),2024-01-08,1705000,제주특별자치도교육청 세화고등학교,세화고등학교,주식회사 이노소프트,9290064,고등학교,제주특별자치도,
-86de2322a26b,물품,과학실 수업 기자재 구입(전자칠판 외),2024-01-08,3842250,제주특별자치도교육청 한라중학교,한라중학교,(주)대성정보기술,9296018,중학교,제주특별자치도,
-58b5a1942eb5,물품,학교정보화기기 소모품 구입(프린터 드럼 포터컨덕터 외 7종),2024-01-08,1470000,제주특별자치도교육청 광양초등학교,광양초등학교,주식회사 이룸정보통신,9296042,초등학교,제주특별자치도,
-ba5460edbdcb,물품,특별교실 전자칠판 이동식 스탠드 구입,2024-01-05,11700000,제주특별자치도교육청 신성여자중학교,신성여자중학교,(주)컴버스테크,9296034,중학교,제주특별자치도,
-bdd6aa1ea850,물품,교사용 태블릿pc보관함 구입,2024-01-05,2190000,제주특별자치도교육청 동광초등학교,동광초등학교,(주)스마트엑세스,9296060,초등학교,제주특별자치도,
-cd26e8ac29be,물품,2023년 12월 방과후학교(로봇과학) 재료 구입비,2024-01-05,1441000,제주특별자치도교육청 한라초등학교,한라초등학교,로봇프라임,9296062,초등학교,제주특별자치도,
-9bd1f841e912,물품,[S2B]정보통신교육을 위한 태블릿(6학년용) 구입,2024-01-04,7360000,제주특별자치도교육청 하귀일초등학교,하귀일초등학교,주식회사 에스인,9296181,초등학교,제주특별자치도,
-7e791ef248f6,물품,[조달] 에듀테크 활용 수업을 위한 정보화기기 물품 구입-태블릿컴퓨터,2024-01-04,4193000,제주특별자치도교육청 서귀포대신중학교,서귀포대신중학교,삼성전자 주식회사,9299014,중학교,제주특별자치도,
-81cc24365561,물품,디지털선도학교 운영을 위한 교구 구입,2024-01-04,8529000,제주특별자치도교육청 서호초등학교,서호초등학교,주식회사 신동아문구,9299029,초등학교,제주특별자치도,
-0b34f3ff00ab,물품,SW 교육활동 AI로봇 구입,2024-01-04,6507000,제주특별자치도교육청 안덕초등학교,안덕초등학교,주식회사 마크노바,9299065,초등학교,제주특별자치도,
-8072879fa331,물품,미래형정보교실 구축을 위한 물품(전자칠판) 구입,2024-01-03,14250000,제주특별자치도교육청 효돈중학교,효돈중학교,제주비투비 주식회사,9299012,중학교,제주특별자치도,
-edf5994f4c82,물품,[G2B]2023년 미래형 정보교실 정보화 기자재 구입,2024-01-03,15841100,제주특별자치도교육청 우도중학교,우도중학교,제주지방조달청,9296030,중학교,제주특별자치도,
-e2840cb10fab,물품,특별교실 전자칠판 및 이동식 스탠드 설치,2024-01-03,59562000,제주특별자치도교육청 신성여자중학교,신성여자중학교,(주)컴버스테크,9296034,중학교,제주특별자치도,
-0252cc0a361b,물품,2023 스마트 교육 지원을 위한 코딩 교구 및 도서 구입,2024-01-03,2428500,제주특별자치도교육청 토평초등학교,토평초등학교,제주교육미디어,9299030,초등학교,제주특별자치도,
-051becb3e151,물품,2023 스마트 교육 지원을 위한 코딩 교구 구입,2024-01-03,1770000,제주특별자치도교육청 토평초등학교,토평초등학교,"제주로봇코딩,원클래스스터디카페",9299030,초등학교,제주특별자치도,
-5e6ebbe0d013,물품,2023년 미래형정보교실 구축을 위한 물품(전자칠판) 구입,2024-01-03,14250000,제주특별자치도교육청 효돈중학교,효돈중학교,제주비투비 주식회사,9299012,중학교,제주특별자치도,
-ff27456535a4,물품,우도초.중학교 전기분전함 교체 및 미래형정보화교실 리모델링 전기공사...,2023-12-29,49000000,제주특별자치도교육청 우도중학교,우도중학교,주식회사 성진전력,9296030,중학교,제주특별자치도,
-52f1f2fb14de,물품,(조달)2023학년도 정보화 비품 구입(데스크톱 컴퓨터),2023-12-29,1336500,제주특별자치도교육청 가파초등학교,가파초등학교,제주지방조달청,,,제주특별자치도,
-4e2e7d1be92c,물품,학생 간부 수련회 3D프린터 개발 교육 재료 구입(교육청),2023-12-29,4500000,제주특별자치도교육청 서귀포산업과학고등학교,서귀포산업과학고등학교,와이엠테크,9290060,고등학교,제주특별자치도,
-08f00f523710,물품,과학실 수업 지원을 위한 영상기기(전자칠판)구입,2023-12-29,6380000,제주특별자치도교육청 동광초등학교,동광초등학교,주식회사 벡트,9296060,초등학교,제주특별자치도,
-50f34337563a,물품,(조달)2023학년도 정보화 비품 구입(노트북),2023-12-29,5120000,제주특별자치도교육청 가파초등학교,가파초등학교,제주지방조달청,,,제주특별자치도,
-98627a38bd8e,물품,G2B)정보화기기 구입(태블릿컴퓨터),2023-12-28,1311000,제주특별자치도교육청 노형초등학교,노형초등학교,제주지방조달청,9296056,초등학교,제주특별자치도,
-b6e3d6f9bb9f,물품,2023학년도 진로체험의 날 운영에 따른 AI/SW 미래 신기술 체험 프로그램 위...,2023-12-28,2748000,제주특별자치도교육청 위미중학교,위미중학교,유니키트,9299018,중학교,제주특별자치도,
-c3a3270613b4,물품,교육용 태블릿PC 구입,2023-12-28,2603940,제주특별자치도교육청 덕수초등학교,덕수초등학교,(주)에듀에이드,9299063,초등학교,제주특별자치도,
-d15dd60c6763,물품,특수교육대상학생 교육활동을 위한 태블릿pc 조달 구입,2023-12-27,1198000,제주특별자치도교육청 조천초등학교,조천초등학교,삼성전자 주식회사,9296083,초등학교,제주특별자치도,
-2f0e008c699a,물품,[조달]2023학년도 정보화업무 운영에 따른 모니터 구입,2023-12-27,1130000,제주특별자치도교육청 서귀포산업과학고등학교,서귀포산업과학고등학교,제주지방조달청,9290060,고등학교,제주특별자치도,
-2b7b7e3e8359,물품,"본관동 교실, 교무실, 전산실, 컴퓨터실 및 다목적강당 관악실 리모델링 ...",2023-12-26,2284000,제주특별자치도교육청 제주제일중학교,제주제일중학교,드림오에이,9296011,중학교,제주특별자치도,
-53f9512b8292,물품,모듈러 돌봄교실 구축에 따른 디지털복사기 구입,2023-12-26,2915000,제주특별자치도교육청 동홍초등학교,동홍초등학교,제주지방조달청,9299039,초등학교,제주특별자치도,
-b168127567ec,물품,Wee클래스 상담용 노트북컴퓨터 구입(조달),2023-12-26,1660000,제주특별자치도교육청 한림중학교,한림중학교,엘지전자 주식회사,9296021,중학교,제주특별자치도,
-e196bc76f168,물품,디지털선도학교 교사용 에듀테크 구입(수업관리 프로그램),2023-12-26,3000000,제주특별자치도교육청 한림초등학교,한림초등학교,(주) 엠에이치소프트,9296076,초등학교,제주특별자치도,
